"id","journal","publication_date","article_type","editor"
10.1371/journal.pbio.0020009,PLoS Biology,2003-12-15,Research Article,Michael Eisen
10.1371/journal.pbio.0030093,PLoS Biology,2005-03-15,Research Article,Michael Levine
10.1371/journal.pbio.0060125,PLoS Biology,2008-05-27,Research Article,Michael B Eisen
10.1371/journal.pbio.0060261,PLoS Biology,2008-10-28,Research Article,Michael B Eisen
10.1371/journal.pbio.0060263,PLoS Biology,2008-11-04,Research Article,Michael B Eisen
10.1371/journal.pbio.1000168,PLoS Biology,2009-08-04,Research Article,Michael B Eisen
10.1371/journal.pbio.1000213,PLoS Biology,2009-10-06,Research Article,Michael B Eisen
10.1371/journal.pbio.1000435,PLoS Biology,2010-07-27,Research Article,Michael B Eisen
10.1371/journal.pbio.1000456,PLoS Biology,2010-08-17,Research Article,Michael B Eisen
10.1371/journal.pbio.1000625,PLoS Biology,2011-07-12,Perspective,Michael B Eisen
10.1371/journal.pbio.1001102,PLoS Biology,2011-07-12,Perspective,Michael B Eisen
10.1371/journal.pbio.1001126,PLoS Biology,2011-08-16,Research Article,Michael B Eisen
10.1371/journal.pbio.1001144,PLoS Biology,2011-09-06,Research Article,Michael B Eisen
10.1371/journal.pcbi.0010013,PLoS Computational Biology,2005-06-24,Research Article,Michael Eisen
10.1371/journal.pcbi.0010041,PLoS Computational Biology,2005-09-23,Research Article,Michael B Eisen
10.1371/journal.pcbi.0020053,PLoS Computational Biology,2006-05-26,Research Article,Michael B Eisen
10.1371/journal.pcbi.0020068,PLoS Computational Biology,2006-06-16,Research Article,Michael Eisen
10.1371/journal.pgen.0020158,PLoS Genetics,2006-09-22,Research Article,Michael Snyder
10.1371/journal.pgen.0030223,PLoS Genetics,2007-11-30,Research Article,Michael Lichten
10.1371/journal.pgen.1000151,PLoS Genetics,2008-08-08,Research Article,Michael Snyder
10.1371/journal.pgen.1000502,PLoS Genetics,2009-06-05,Research Article,Michael Snyder
10.1371/journal.pgen.1000550,PLoS Genetics,2009-07-03,Research Article,Michael W Nachman
10.1371/journal.pgen.1000796,PLoS Genetics,2010-02-05,Research Article,Michael W Nachman
10.1371/journal.pgen.1000883,PLoS Genetics,2010-03-19,Research Article,Michael Snyder
10.1371/journal.pgen.1002095,PLoS Genetics,2011-06-02,Research Article,Michael B Eisen
10.1371/journal.pone.0002845,PLoS ONE,2008-07-30,Research Article,Michael Hendricks
10.1371/journal.pone.0006345,PLoS ONE,2009-07-23,Research Article,Michael Freitag
10.1371/journal.pone.0011498,PLoS ONE,2010-07-09,Research Article,Michael J Pazin
10.1371/journal.pone.0015188,PLoS ONE,2010-12-20,Research Article,Michael J Pazin
10.1371/journal.pone.0018135,PLoS ONE,2011-04-04,Research Article,Michael Polymenis
10.1371/journal.pone.0019267,PLoS ONE,2011-04-29,Research Article,Michael Hensel
10.1371/journal.ppat.1002284,PLoS Pathogens,2011-10-06,Research Article,Michael Emerman
10.1371/journal.pgen.1002527,PLoS Genetics,2012-02-23,Research Article,Michael Snyder
10.1371/journal.pone.0032635,PLoS ONE,2012-03-12,Research Article,Michael Klymkowsky
10.1371/journal.pgen.1002610,PLoS Genetics,2012-03-29,Research Article,Michael Snyder
10.1371/journal.pone.0029403,PLoS ONE,2012-02-27,Research Article,Michael Hofreiter
10.1371/journal.pone.0008481,PLoS ONE,2009-12-29,Research Article,Michael Hendricks
10.1371/journal.ppat.1000269,PLoS Pathogens,2009-01-16,Research Article,Michael Farzan
10.1371/journal.pone.0040172,PLoS ONE,2012-07-05,Research Article,Michael Schubert
10.1371/journal.pone.0003859,PLoS ONE,2008-12-03,Research Article,Michael Hendricks
10.1371/journal.pone.0004267,PLoS ONE,2009-01-23,Research Article,Michael Lichten
10.1371/journal.ppat.0030168,PLoS Pathogens,2007-11-16,Research Article,Michael R Wessels
10.1371/journal.pgen.1000112,PLoS Genetics,2008-07-04,Research Article,Michael Snyder
10.1371/journal.pgen.1001114,PLoS Genetics,2010-09-09,Research Article,Michael Lichten
10.1371/journal.ppat.1000026,PLoS Pathogens,2008-03-21,Research Article,Michael R Wessels
10.1371/journal.pone.0031575,PLoS ONE,2012-02-29,Research Article,Michael Lichten
10.1371/journal.ppat.1002586,PLoS Pathogens,2012-03-22,Research Article,Michael S Diamond
10.1371/journal.pone.0033834,PLoS ONE,2012-03-19,Research Article,Michael Freitag
10.1371/journal.pone.0008843,PLoS ONE,2010-01-22,Research Article,Michael Hendricks
10.1371/journal.pone.0017585,PLoS ONE,2011-03-16,Research Article,Michael Hensel
10.1371/journal.ppat.1000241,PLoS Pathogens,2008-12-12,Research Article,Michael S Gilmore
10.1371/journal.pone.0039243,PLoS ONE,2012-06-22,Research Article,Michael Taffe
10.1371/journal.ppat.1000346,PLoS Pathogens,2009-03-27,Research Article,Michael R Wessels
10.1371/journal.pone.0006693,PLoS ONE,2009-08-19,Research Article,Michael J Pazin
